Date,Price,Open,High,Low,Vol.,Change %
2019-06-25,4.89,4.88,4.95,4.85,1.72M,0.41%
2019-06-24,4.87,4.98,4.98,4.83,1.18M,-1.81%
2019-06-21,4.96,4.76,5.00,4.76,9.62M,3.77%
2019-06-20,4.78,4.92,5.03,4.74,2.09M,-4.40%
2019-06-19,5.00,4.82,5.00,4.78,1.41M,3.73%
2019-06-18,4.82,4.60,4.82,4.60,3.15M,3.88%
2019-06-17,4.64,4.63,4.67,4.58,1.53M,-0.64%
2019-06-14,4.67,4.63,4.67,4.52,2.60M,0.65%
2019-06-13,4.64,4.52,4.65,4.43,2.22M,1.98%
2019-06-12,4.55,4.56,4.57,4.52,15.65M,-0.44%
2019-06-11,4.57,4.58,4.58,4.55,15.41M,-0.22%
2019-06-10,4.58,4.58,4.61,4.53,17.21M,0.00%
2019-06-07,4.58,4.58,4.61,4.50,8.14M,0.00%
2019-06-04,4.58,4.74,4.85,4.57,1.46M,-1.72%
2019-06-03,4.66,4.61,4.74,4.61,2.38M,0.00%
2019-05-31,4.66,4.64,4.73,4.59,7.87M,2.19%
2019-05-30,4.56,4.52,4.79,4.52,1.79M,-1.30%
2019-05-29,4.62,4.70,4.74,4.61,1.88M,-1.91%
2019-05-28,4.71,4.72,4.84,4.71,37.81M,0.00%
2019-05-27,4.71,4.55,4.80,4.47,2.20M,3.97%
2019-05-24,4.53,4.58,4.67,4.43,3.10M,-2.79%
2019-05-23,4.66,4.68,4.73,4.59,3.41M,-0.43%
2019-05-21,4.68,4.66,4.79,4.64,2.98M,0.00%
2019-05-17,4.68,4.64,4.76,4.64,3.43M,0.86%
2019-05-16,4.64,4.61,4.68,4.57,5.57M,-1.07%
2019-05-15,4.69,4.72,4.88,4.52,4.05M,0.21%
2019-05-14,4.68,4.84,4.84,4.66,13.80M,-4.68%
2019-05-13,4.91,4.90,4.95,4.84,3.41M,-0.81%
2019-05-10,4.95,4.95,4.98,4.91,2.23M,-0.80%
