datetime,timestamp,location,latitude,longitude,request_status,precipIntensityMax_mmhr,precipIntensitySum_mm,temperatureMax_C,temperatureMin_C,temperatureMean_C,humidityMean,sunshineTime,uvIndex,no_daily,no_hourly
2017-02-22 17:00:00+08:00,1487754000,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,32.69,22.71,26.27125,0.8566666666666666,6.850000000000001,30.620000000000005,,
2017-02-23 17:00:00+08:00,1487840400,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,33.55,23.23,27.19499999999999,0.83,6.17,24.8,,
2017-02-24 17:00:00+08:00,1487926800,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.55,23.39,27.058571428571433,0.8338095238095239,6.420000000000003,25.43,,
2017-02-25 17:00:00+08:00,1488013200,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,32.42,23.71,27.471818181818172,0.8136363636363636,5.610000000000001,19.57,,
2017-02-26 17:00:00+08:00,1488099600,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.43,23.79,27.62818181818182,0.8159090909090909,8.100000000000001,34.15000000000001,,
2017-02-27 17:00:00+08:00,1488186000,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,29.72,23.67,25.85,0.90375,6.790000000000003,25.67,,
2017-02-28 17:00:00+08:00,1488272400,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,29.42,23.71,26.17636363636363,0.8968181818181816,7.290000000000001,33.78,,
2017-03-01 17:00:00+08:00,1488358800,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.43,22.79,27.22772727272727,0.8163636363636364,5.050000000000002,16.400000000000002,,
2017-03-02 17:00:00+08:00,1488445200,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.5,23.66,26.889130434782626,0.8621739130434785,8.350000000000001,34.15000000000001,,
2017-03-03 17:00:00+08:00,1488531600,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.58,23.79,27.323636363636364,0.8454545454545456,6.360000000000001,17.970000000000006,,
2017-03-04 17:00:00+08:00,1488618000,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.43,23.71,27.14583333333333,0.8433333333333333,6.290000000000001,21.43,,
2017-03-05 17:00:00+08:00,1488704400,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,30.34,24.72,26.48545454545453,0.8795454545454547,9.470000000000002,46.35000000000001,,
2017-03-06 17:00:00+08:00,1488790800,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.48,24.4,26.39347826086957,0.896521739130435,6.920000000000003,35.59,,
2017-03-07 17:00:00+08:00,1488877200,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,30.47,22.71,26.103043478260865,0.8760869565217392,6.540000000000001,22.92,,
2017-03-08 17:00:00+08:00,1488963600,Palembang,-2.8408759999999997,104.645884,200.0,0.0,0.0,31.5,24.7,27.58181818181819,0.8445454545454548,6.920000000000003,20.46,,
